Mode,Avg Sim Calls,Feasible Hit Rate,Efficiency Score,Avg Convergence Step,Focused Truth Ratio,Phase Change Rate,Calib Replan Rate,Rollout Guidance Rate,Avg Rollout Guidance
full_system,1.0,0.0,0.0,0.0,1.0,0.666667,0.333333,1.0,0.361514
top_k_baseline,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
no_fidelity_escalation,1.0,0.0,0.0,3.0,0.0,0.666667,0.333333,1.0,0.367807
no_phase_updates,1.0,0.0,0.0,0.0,1.0,0.0,0.333333,1.0,0.361514
no_calibration_replanning,1.0,0.0,0.0,0.0,1.0,0.333333,0.0,1.0,0.361514
no_rollout_planning,1.0,0.0,0.0,0.0,1.0,0.666667,0.333333,0.0,0.0
