Mode,Mean Selected Uncertainty,Mean Selected Confidence,Mean Sim Value,Mean Pred Feasibility
full_system,0.198,0.8713,0.439972,0.301733
top_k_baseline,0.198,0.8713,0.434194,0.287283
no_fidelity_escalation,0.198,0.8713,0.439972,0.301733
no_phase_updates,0.198,0.8713,0.439972,0.301733
no_calibration_replanning,0.198,0.8713,0.439972,0.301733
no_rollout_planning,0.198,0.8713,0.439972,0.301733
