metric,value
aggregation_scope,experiment_suite
total_real_simulation_calls,60
measurement_success_rate,1.0
feasible_verification_rate,1.0
predicted_feasible_to_verified_feasible_conversion,1.0
simulation_reduction_ratio,
fidelity_escalation_rate,0.6
focused_truth_ratio,0.6
